,municipio,0 a 6 dias,7 a 27 dias,28 a 364 dias,1 a 4 anos
0,abreu e lima,6.0,3.0,5.0,5.0
1,afogados da ingazeira,3.0,1.0,,1.0
2,afranio,1.0,2.0,,
3,agrestina,1.0,2.0,3.0,
4,agua preta,4.0,1.0,,2.0
5,aguas belas,5.0,2.0,4.0,3.0
6,alagoinha,2.0,1.0,2.0,
7,alianca,2.0,1.0,2.0,
8,altinho,3.0,,1.0,2.0
9,amaraji,,1.0,,1.0
10,angelim,,1.0,,
11,aracoiaba,5.0,1.0,1.0,2.0
12,araripina,14.0,3.0,6.0,4.0
13,arcoverde,9.0,2.0,10.0,3.0
14,barra de guabiraba,,1.0,,
15,barreiros,2.0,,2.0,1.0
16,belem de maria,1.0,,1.0,
17,belem de sao francisco,2.0,1.0,1.0,
18,belo jardim,4.0,2.0,4.0,4.0
19,betania,,2.0,1.0,1.0
20,bezerros,7.0,2.0,2.0,3.0
21,bodoco,7.0,2.0,1.0,
22,bom conselho,1.0,2.0,3.0,1.0
23,bom jardim,1.0,1.0,2.0,
24,bonito,7.0,2.0,3.0,1.0
25,brejao,3.0,,,1.0
26,brejinho,1.0,1.0,,1.0
27,brejo da madre de deus,5.0,2.0,5.0,
28,buenos aires,,1.0,1.0,
29,buique,5.0,,4.0,2.0
30,cabo de santo agostinho,15.0,8.0,13.0,4.0
31,cabrobo,4.0,1.0,1.0,
32,cachoeirinha,3.0,,,
33,caetes,7.0,1.0,2.0,1.0
34,calcado,,1.0,,
35,calumbi,1.0,,2.0,
36,camaragibe,14.0,1.0,10.0,4.0
37,camocim de sao felix,2.0,1.0,,
38,camutanga,1.0,,,
39,canhotinho,5.0,,1.0,1.0
40,capoeiras,2.0,,3.0,1.0
41,carnaiba,1.0,4.0,1.0,1.0
42,carnaubeira da penha,5.0,,,1.0
43,carpina,9.0,1.0,4.0,1.0
44,caruaru,32.0,12.0,15.0,7.0
45,casinhas,1.0,1.0,,1.0
46,catende,2.0,,2.0,
47,cedro,2.0,,,
48,cha de alegria,,,,3.0
49,cha grande,1.0,,2.0,1.0
50,condado,2.0,,,
51,correntes,4.0,,2.0,
52,cortes,1.0,,,
53,cumaru,,,1.0,1.0
54,cupira,3.0,,1.0,
55,custodia,6.0,1.0,,
56,dormentes,3.0,1.0,1.0,
57,escada,2.0,1.0,1.0,
58,exu,4.0,,,3.0
59,feira nova,,,2.0,
60,ferreiros,,,,1.0
61,flores,5.0,2.0,,1.0
62,floresta,8.0,,2.0,
63,frei miguelinho,1.0,,,
64,gameleira,2.0,,2.0,
65,garanhuns,15.0,3.0,8.0,2.0
66,gloria do goita,2.0,,,2.0
67,goiana,10.0,5.0,,
68,granito,3.0,,,
69,gravata,4.0,3.0,3.0,1.0
70,iati,3.0,1.0,3.0,2.0
71,ibimirim,3.0,,1.0,1.0
72,ibirajuba,1.0,,,
73,igarassu,13.0,2.0,2.0,1.0
74,iguaracy,,1.0,,
75,inaja,2.0,1.0,,1.0
76,ingazeira,1.0,,,
77,ipojuca,12.0,5.0,5.0,2.0
78,ipubi,4.0,2.0,1.0,3.0
79,itaiba,1.0,1.0,1.0,
80,ilha de itamaraca,,,2.0,
81,itambe,7.0,2.0,2.0,2.0
82,itapetim,,,1.0,
83,itapissuma,2.0,,,
84,itaquitinga,1.0,1.0,1.0,
85,jaboatao dos guararapes,59.0,21.0,25.0,12.0
86,jatauba,1.0,,2.0,1.0
87,jatoba,1.0,,1.0,2.0
88,joao alfredo,5.0,,,
89,joaquim nabuco,,,,1.0
90,jucati,,,1.0,
91,jupi,,1.0,,1.0
92,jurema,4.0,,4.0,1.0
93,lagoa de itaenga,4.0,,1.0,1.0
94,lagoa do ouro,2.0,,1.0,
95,lagoa dos gatos,,,,1.0
96,lagoa grande,5.0,2.0,1.0,1.0
97,lajedo,6.0,1.0,3.0,2.0
98,limoeiro,8.0,3.0,1.0,3.0
99,macaparana,,3.0,2.0,1.0
100,machados,,1.0,3.0,1.0
101,manari,2.0,,2.0,
102,maraial,1.0,,3.0,
103,mirandiba,6.0,,,1.0
104,moreno,6.0,1.0,1.0,
105,nazare da mata,,,2.0,2.0
106,olinda,40.0,10.0,19.0,12.0
107,orobo,4.0,1.0,,
108,oroco,3.0,1.0,,
109,ouricuri,6.0,4.0,7.0,1.0
110,palmares,3.0,1.0,2.0,
111,palmeirina,1.0,,,
112,panelas,3.0,,1.0,2.0
113,paranatama,1.0,,,1.0
114,parnamirim,5.0,,,2.0
115,paudalho,6.0,,1.0,1.0
116,paulista,17.0,9.0,11.0,5.0
117,pedra,1.0,,,
118,pesqueira,7.0,2.0,4.0,2.0
119,petrolandia,5.0,,,1.0
120,petrolina,55.0,15.0,27.0,12.0
121,pocao,2.0,1.0,,
122,pombos,1.0,,,1.0
123,primavera,,,,2.0
124,quipapa,1.0,,1.0,
125,recife,94.0,31.0,57.0,31.0
126,riacho das almas,2.0,1.0,1.0,
127,ribeirao,3.0,,2.0,
128,saire,,1.0,1.0,
129,salgadinho,,1.0,1.0,
130,salgueiro,8.0,,7.0,
131,sanharo,1.0,,4.0,2.0
132,santa cruz,2.0,2.0,,
133,santa cruz da baixa verde,1.0,,1.0,
134,santa cruz do capibaribe,7.0,11.0,4.0,4.0
135,santa filomena,1.0,1.0,1.0,1.0
136,santa maria da boa vista,10.0,2.0,4.0,1.0
137,santa maria do cambuca,4.0,,1.0,
138,santa terezinha,,,1.0,
139,sao benedito do sul,2.0,1.0,1.0,
140,sao bento do una,8.0,2.0,4.0,2.0
141,sao caitano,5.0,,1.0,1.0
142,sao joao,1.0,1.0,,
143,sao joaquim do monte,3.0,,1.0,
144,sao jose da coroa grande,1.0,1.0,4.0,2.0
145,sao jose do belmonte,5.0,,3.0,
146,sao jose do egito,4.0,,4.0,
147,sao lourenco da mata,13.0,2.0,7.0,3.0
148,sao vicente ferrer,3.0,,1.0,
149,serra talhada,11.0,3.0,3.0,4.0
150,serrita,2.0,1.0,2.0,
151,sertania,6.0,1.0,2.0,1.0
152,sirinhaem,4.0,,6.0,
153,moreilandia,1.0,1.0,,
154,surubim,6.0,1.0,1.0,
155,tabira,5.0,1.0,,
156,tacaimbo,1.0,,,
157,tacaratu,1.0,2.0,1.0,
158,tamandare,1.0,1.0,2.0,1.0
159,taquaritinga do norte,2.0,1.0,1.0,
