numUJ;Municipio
5296;Abreu e Lima
5297;Afogados da Ingazeira
5298;Afrânio
5299;Agrestina
5300;Água Preta
5301;Águas Belas
5302;Alagoinha
5303;Aliança
5304;Altinho
5305;Amaraji
5306;Angelim
5307;Araripina
5308;Arcoverde
5309;Barra de Guabiraba
5310;Barreiros
5311;Belém de Maria
5312;Belém de São Francisco
5313;Belo Jardim
5314;Betânia
5315;Bezerros
5316;Bodocó
5317;Bom Conselho
5318;Bom Jardim
5319;Bonito
5320;Brejão
5321;Brejinho
5322;Brejo da Madre de Deus
5323;Buenos Aires
5324;Buíque
5325;Cabo de Santo Agostinho
5326;Cabrobó
5327;Cachoeirinha
5328;Caetés
5329;Calçado
5330;Calumbi
5331;Camaragibe
5332;Camocim de São Félix
5333;Camutanga
5334;Canhotinho
5335;Capoeiras
5336;Carnaíba
5337;Carpina
5338;Caruaru
5339;Catende
5340;Cedro
5341;Chã de Alegria
5342;Chã Grande
5343;Condado
5344;Correntes
5345;Cortês
5346;Cumaru
5347;Cupira
5348;Custódia
5349;Escada
5350;Exu
5351;Feira Nova
5352;Ferreiros
5353;Flores
5354;Floresta
5355;Frei Miguelinho
5356;Gameleira
5357;Garanhuns
5358;Glória do Goitá
5359;Goiana
5360;Granito
5361;Gravatá
5362;Iati
5363;Ibimirim
5364;Ibirajuba
5365;Igarassu
5366;Iguaracy
5367;Inajá
5368;Ingazeira
5369;Ipojuca
5370;Ipubi
5371;Itacuruba
5372;Itaíba
5373;Ilha de Itamaracá
5374;Itambé
5375;Itapetim
5376;Itapissuma
5377;Itaquitinga
5378;Jaboatão dos Guararapes
5379;Jataúba
5380;João Alfredo
5381;Joaquim Nabuco
5382;Jupi
5383;Jurema
5384;Lagoa de Itaenga
5385;Lagoa dos Gatos
5386;Lagoa do Ouro
5387;Lajedo
5388;Limoeiro
5389;Macaparana
5390;Machados
5391;Maraial
5392;Mirandiba
5393;Moreno
5394;Nazaré da Mata
5395;Olinda
5396;Orobó
5397;Orocó
5398;Ouricuri
5399;Palmares
5400;Palmeirina
5401;Panelas
5402;Paranatama
5403;Passira
5404;Parnamirim
5405;Paudalho
5406;Paulista
5407;Pedra
5408;Pesqueira
5409;Petrolândia
5410;Petrolina
5411;Poção
5412;Pombos
5413;Primavera
5414;Quipapá
5415;Recife
5416;Riacho das Almas
5417;Ribeirão
5418;Rio Formoso
5419;Sairé
5420;Salgadinho
5421;Salgueiro
5422;Saloá
5423;Sanharó
5424;Santa Cruz do Capibaribe
5425;Santa Maria da Boa Vista
5426;Santa Maria do Cambucá
5427;Santa Terezinha
5428;São Benedito do Sul
5429;São Bento do Una
5430;São Caetano
5431;São João
5432;São Joaquim do Monte
5433;São José da Coroa Grande
5434;São José do Belmonte
5435;São José do Egito
5436;São Lourenço da Mata
5437;São Vicente Ferrer
5438;Serra Talhada
5439;Serrita
5440;Sertânia
5441;Sirinhaém
5442;Moreilândia
5443;Solidão
5444;Surubim
5445;Tabira
5446;Tacaimbó
5447;Tacaratu
5448;Taquaritinga do Norte
5449;Terezinha
5450;Terra Nova
5451;Timbaúba
5452;Toritama
5453;Tracunhaém
5454;Trindade
5455;Triunfo
5456;Tupanatinga
5457;Tuparetama
5458;Venturosa
5459;Verdejante
5460;Vertentes
5461;Vicência
5462;Vitória de Santo Antão
5463;Santa Cruz da Baixa Verde
5464;Jucati
5465;Dormentes
5466;Lagoa do Carro
5467;Carnaubeira da Penha
5468;Santa Cruz
5469;Quixaba
5470;Xexéu
5471;Vertente do Lério
5472;Lagoa Grande
5473;Casinhas
5474;Jatobá
5475;Manari
5476;Tamandaré
5477;Jaqueira
5478;Araçoiaba
5479;Santa Filomena
5507;Fernando de Noronha
