,municipio,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 74 anos,Total
0,,,,1.0,8.0,11.0,12.0,19,11,3.0,65
1,,1.0,1.0,8.0,33.0,41.0,68.0,156,176,114.0,598
2,,,1.0,4.0,8.0,12.0,26.0,50,43,42.0,186
3,,1.0,,3.0,5.0,8.0,10.0,9,17,13.0,66
4,,,,5.0,8.0,20.0,32.0,15,36,25.0,141
5,,1.0,,2.0,11.0,12.0,26.0,23,39,30.0,144
6,,1.0,2.0,4.0,5.0,14.0,33.0,36,50,33.0,178
7,,,1.0,1.0,2.0,2.0,17.0,15,17,11.0,66
8,,1.0,1.0,3.0,24.0,19.0,38.0,36,65,31.0,218
9,,,,4.0,10.0,16.0,15.0,28,25,22.0,120
10,,,,3.0,3.0,9.0,18.0,30,28,26.0,117
11,,,,5.0,2.0,6.0,5.0,8,9,7.0,42
12,,3.0,1.0,2.0,6.0,9.0,15.0,16,27,23.0,102
13,,1.0,,13.0,31.0,49.0,52.0,59,103,54.0,362
14,,2.0,2.0,8.0,19.0,25.0,47.0,80,95,62.0,340
15,,,,3.0,6.0,5.0,4.0,8,16,4.0,46
16,,,1.0,6.0,19.0,30.0,27.0,43,74,33.0,233
17,,,,,5.0,5.0,10.0,14,11,8.0,53
18,,,1.0,2.0,10.0,10.0,4.0,19,14,17.0,77
19,,3.0,1.0,7.0,29.0,40.0,62.0,93,111,72.0,418
20,,,,1.0,4.0,11.0,10.0,9,16,7.0,58
21,,,1.0,1.0,25.0,27.0,40.0,67,104,66.0,331
22,,,,3.0,10.0,9.0,13.0,32,27,24.0,118
23,,,4.0,3.0,13.0,8.0,23.0,47,62,42.0,202
24,,,,5.0,10.0,17.0,34.0,46,58,36.0,206
25,,,,4.0,16.0,10.0,32.0,33,55,44.0,194
26,,,,,1.0,6.0,11.0,7,14,7.0,46
27,,,,,3.0,2.0,6.0,11,11,7.0,40
28,,,2.0,9.0,18.0,17.0,28.0,34,57,37.0,202
29,,,,1.0,2.0,5.0,8.0,19,21,14.0,70
30,,1.0,,7.0,12.0,17.0,25.0,34,42,29.0,167
31,,3.0,3.0,42.0,88.0,106.0,161.0,248,336,210.0,1197
32,,2.0,,3.0,9.0,13.0,20.0,38,34,22.0,141
33,,,,2.0,4.0,12.0,14.0,15,16,19.0,82
34,,,1.0,,11.0,15.0,16.0,23,40,17.0,123
35,,1.0,,2.0,2.0,3.0,12.0,7,15,4.0,46
36,,,,1.0,3.0,2.0,4.0,8,5,8.0,31
37,,,1.0,12.0,54.0,71.0,105.0,175,264,157.0,839
38,,,,2.0,3.0,10.0,12.0,16,23,13.0,79
39,,,,,3.0,8.0,5.0,10,10,14.0,50
40,,,2.0,1.0,4.0,12.0,19.0,24,37,15.0,114
41,,,1.0,1.0,3.0,19.0,12.0,19,25,12.0,92
42,,1.0,,1.0,4.0,7.0,7.0,20,11,16.0,67
43,,3.0,,,1.0,6.0,10.0,6,5,5.0,36
44,,,2.0,5.0,20.0,31.0,62.0,100,140,89.0,449
45,,5.0,6.0,34.0,97.0,157.0,244.0,367,484,270.0,1664
46,,1.0,,,2.0,3.0,9.0,13,6,6.0,40
47,,1.0,,1.0,14.0,13.0,24.0,56,55,30.0,194
48,,,,,1.0,4.0,3.0,10,7,9.0,34
49,,1.0,,4.0,6.0,9.0,11.0,15,15,15.0,76
50,,1.0,,6.0,10.0,7.0,8.0,19,33,18.0,102
51,,,,6.0,4.0,16.0,19.0,22,39,25.0,131
52,,1.0,,1.0,5.0,3.0,10.0,16,20,16.0,72
53,,,1.0,,5.0,5.0,11.0,12,14,11.0,59
54,,,,,2.0,8.0,10.0,14,17,12.0,63
55,,,,6.0,10.0,13.0,14.0,26,37,27.0,133
56,,1.0,1.0,4.0,8.0,15.0,16.0,36,58,33.0,172
57,,,,2.0,3.0,3.0,7.0,14,16,9.0,54
58,,,,17.0,31.0,27.0,44.0,83,118,61.0,381
59,,1.0,1.0,3.0,4.0,10.0,25.0,29,29,20.0,122
60,,,,2.0,3.0,10.0,17.0,18,31,24.0,105
61,,,,,,1.0,,4,2,,7
62,,,,2.0,8.0,6.0,8.0,15,20,11.0,70
63,,,,4.0,6.0,11.0,14.0,15,23,24.0,97
64,,1.0,,4.0,9.0,8.0,29.0,21,31,20.0,123
65,,,,1.0,3.0,5.0,10.0,16,19,8.0,62
66,,2.0,,4.0,9.0,16.0,13.0,23,31,17.0,115
67,,1.0,1.0,16.0,37.0,63.0,109.0,163,211,126.0,727
68,,,,1.0,13.0,19.0,17.0,32,21,27.0,130
69,,3.0,,14.0,22.0,48.0,67.0,93,132,64.0,443
70,,,,1.0,,1.0,4.0,8,6,4.0,24
