microrregiao,municipio
alto capibaribe,"['casinhas', 'frei miguelinho', 'santa cruz do capibaribe', 'santa maria do cambuca', 'surubim', 'taquaritinga do norte', 'toritama', 'vertente do lerio', 'vertentes']"
araripina,"['araripina', 'bodoco', 'exu', 'granito', 'ipubi', 'moreilandia', 'ouricuri', 'santa cruz', 'santa filomena', 'trindade']"
brejo pernambucano,"['agrestina', 'altinho', 'barra de guabiraba', 'bonito', 'camocim de sao felix', 'cupira', 'ibirajuba', 'lagoa dos gatos', 'panelas', 'saire', 'sao joaquim do monte']"
garanhuns,"['angelim', 'bom conselho', 'brejao', 'caetes', 'calcado', 'canhotinho', 'correntes', 'garanhuns', 'iati', 'jucati', 'jupi', 'jurema', 'lagoa do ouro', 'lajedo', 'palmeirina', 'paranatama', 'saloa', 'sao joao', 'terezinha']"
itamaraca,"['aracoiaba', 'igarassu', 'ilha de itamaraca', 'itapissuma']"
itaparica,"['belem do sao francisco', 'carnaubeira da penha', 'floresta', 'itacuruba', 'jatoba', 'petrolandia', 'tacaratu']"
mata meridional pernambucana,"['agua preta', 'amaraji', 'barreiros', 'belem de maria', 'catende', 'cortes', 'escada', 'gameleira', 'jaqueira', 'joaquim nabuco', 'maraial', 'palmares', 'primavera', 'quipapa', 'ribeirao', 'rio formoso', 'sao benedito do sul', 'sao jose da coroa grande', 'sirinhaem', 'tamandare', 'xexeu']"
mata setentrional cha de alegria,['vicencia']
mata setentrional pernambucana,"['alianca', 'buenos aires', 'camutanga', 'carpina', 'condado', 'ferreiros', 'goiana', 'itambe', 'itaquitinga', 'lagoa de itaenga', 'lagoa do carro', 'macaparana', 'nazare da mata', 'paudalho', 'timbauba', 'tracunhaem']"
medio capibaribe,"['bom jardim', 'cumaru', 'feira nova', 'joao alfredo', 'limoeiro', 'machados', 'orobo', 'passira', 'salgadinho', 'sao vicente ferrer']"
pajeu,"['afogados da ingazeira', 'brejinho', 'calumbi', 'carnaiba', 'flores', 'iguaracy', 'ingazeira', 'itapetim', 'quixaba', 'santa cruz da baixa verde', 'santa terezinha', 'sao jose do egito', 'serra talhada', 'solidao', 'tabira', 'triunfo', 'tuparetama']"
petrolina,"['afranio', 'cabrobo', 'dormentes', 'lagoa grande', 'oroco', 'petrolina', 'santa maria da boa vista', 'terra nova']"
recife,"['abreu e lima', 'camaragibe', 'jaboatao dos guararapes', 'moreno', 'olinda', 'paulista', 'recife', 'sao lourenco da mata']"
salgueiro,"['cedro', 'mirandiba', 'parnamirim', 'salgueiro', 'sao jose do belmonte', 'serrita', 'verdejante']"
sertao do moxoto,"['arcoverde', 'betania', 'custodia', 'ibimirim', 'inaja', 'manari', 'sertania']"
vale do ipanema,"['aguas belas', 'buique', 'itaiba', 'pedra', 'tupanatinga', 'venturosa']"
vale do ipojuca,"['alagoinha', 'belo jardim', 'bezerros', 'brejo da madre de deus', 'cachoeirinha', 'capoeiras', 'caruaru', 'gravata', 'jatauba', 'pesqueira', 'pocao', 'riacho das almas', 'sanharo', 'sao bento do una', 'sao caetano', 'tacaimbo']"
vitoria de santo antao,"['cha grande', 'gloria do goita', 'pombos', 'vitoria de santo antao']"
