Município de Residência,Nascidos_vivos
260005 Abreu e Lima,1275
260010 Afogados da Ingazeira,575
260020 Afrânio,241
260030 Agrestina,371
260040 Água Preta,408
260050 Águas Belas,702
260060 Alagoinha,182
260070 Aliança,518
260080 Altinho,240
260090 Amaraji,268
260100 Angelim,150
260105 Araçoiaba,327
260110 Araripina,1616
260120 Arcoverde,1135
260130 Barra de Guabiraba,158
260140 Barreiros,678
260150 Belém de Maria,136
260160 Belém de São Francisco,279
260170 Belo Jardim,1119
260180 Betânia,178
260190 Bezerros,711
260200 Bodocó,528
260210 Bom Conselho,448
260220 Bom Jardim,436
260230 Bonito,649
260240 Brejão,177
260250 Brejinho,94
260260 Brejo da Madre de Deus,743
260270 Buenos Aires,179
260280 Buíque,850
260290 Cabo de Santo Agostinho,2905
260300 Cabrobó,522
260310 Cachoeirinha,336
260320 Caetés,447
260330 Calçado,125
260340 Calumbi,97
260345 Camaragibe,2048
260350 Camocim de São Félix,211
260360 Camutanga,91
260370 Canhotinho,350
260380 Capoeiras,269
260390 Carnaíba,251
260392 Carnaubeira da Penha,271
260400 Carpina,1053
260410 Caruaru,5554
260415 Casinhas,156
260420 Catende,454
260430 Cedro,155
260440 Chã de Alegria,171
260450 Chã Grande,317
260460 Condado,339
260470 Correntes,180
260480 Cortês,160
260490 Cumaru,140
260500 Cupira,356
260510 Custódia,551
260515 Dormentes,225
260520 Escada,777
260530 Exu,417
260540 Feira Nova,301
260545 Fernando de Noronha,26
260550 Ferreiros,138
260560 Flores,272
260570 Floresta,493
260580 Frei Miguelinho,137
260590 Gameleira,295
260600 Garanhuns,2136
260610 Glória do Goitá,364
260620 Goiana,1094
260630 Granito,125
260640 Gravatá,1039
260650 Iati,321
260660 Ibimirim,413
260670 Ibirajuba,109
260680 Igarassu,1535
260690 Iguaraci,136
260700 Inajá,366
260710 Ingazeira,62
260720 Ipojuca,1816
260730 Ipubi,578
260740 Itacuruba,79
260750 Itaíba,416
260760 Ilha de Itamaracá,315
260765 Itambé,447
260770 Itapetim,183
260775 Itapissuma,392
260780 Itaquitinga,195
260790 Jaboatão dos Guararapes,8665
260795 Jaqueira,148
260800 Jataúba,219
260805 Jatobá,214
260810 João Alfredo,343
260820 Joaquim Nabuco,228
260825 Jucati,186
260830 Jupi,306
260840 Jurema,189
260845 Lagoa do Carro,236
260850 Lagoa do Itaenga,331
260860 Lagoa do Ouro,147
260870 Lagoa dos Gatos,176
260875 Lagoa Grande,377
260880 Lajedo,669
260890 Limoeiro,757
260900 Macaparana,341
260910 Machados,207
260915 Manari,252
260920 Maraial,154
260930 Mirandiba,278
261430 Moreilândia,144
260940 Moreno,760
260950 Nazaré da Mata,406
260960 Olinda,4725
260970 Orobó,293
260980 Orocó,257
260990 Ouricuri,1049
261000 Palmares,841
261010 Palmeirina,95
261020 Panelas,369
261030 Paranatama,200
261040 Parnamirim,263
261050 Passira,359
261060 Paudalho,818
261070 Paulista,3627
261080 Pedra,365
261090 Pesqueira,900
261100 Petrolândia,669
261110 Petrolina,6299
261120 Poção,162
261130 Pombos,369
261140 Primavera,164
261150 Quipapá,205
261153 Quixabá,95
261160 Recife,18147
261170 Riacho das Almas,285
261180 Ribeirão,459
261190 Rio Formoso,347
261200 Sairé,117
261210 Salgadinho,66
261220 Salgueiro,983
261230 Saloá,189
261240 Sanharó,294
261245 Santa Cruz,211
261247 Santa Cruz da Baixa Verde,155
261250 Santa Cruz do Capibaribe,1314
261255 Santa Filomena,205
261260 Santa Maria da Boa Vista,648
261270 Santa Maria do Cambucá,190
261280 Santa Terezinha,123
261290 São Benedito do Sul,151
261300 São Bento do Una,755
261310 São Caitano,529
261320 São João,331
261330 São Joaquim do Monte,262
261340 São José da Coroa Grande,301
261350 São José do Belmonte,495
261360 São José do Egito,419
261370 São Lourenço da Mata,1489
261380 São Vicente Ferrer,272
261390 Serra Talhada,1486
261400 Serrita,280
261410 Sertânia,401
261420 Sirinhaém,535
261440 Solidão,76
261450 Surubim,826
261460 Tabira,353
261470 Tacaimbó,180
261480 Tacaratu,332
261485 Tamandaré,405
261500 Taquaritinga do Norte,390
261510 Terezinha,99
261520 Terra Nova,133
261530 Timbaúba,651
261540 Toritama,644
261550 Tracunhaém,200
261560 Trindade,573
261570 Triunfo,179
261580 Tupanatinga,363
261590 Tuparetama,112
261600 Venturosa,284
261610 Verdejante,129
261618 Vertente do Lério,100
261620 Vertentes,311
261630 Vicência,356
261640 Vitória de Santo Antão,1914
261650 Xexéu,235
260000 Município ignorado - PE,19
291840 Juazeiro (BA),1425
