Município,0 a 6 dias,7 a 27 dias,28 a 364 dias,1 a 4 anos,Total
260005 ABREU E LIMA,6,3,5,5,19
260010 AFOGADOS DA INGAZEIRA,3,1,-,1,5
260020 AFRANIO,1,2,-,-,3
260030 AGRESTINA,1,2,3,-,6
260040 AGUA PRETA,4,1,-,2,7
260050 AGUAS BELAS,5,2,4,3,14
260060 ALAGOINHA,2,1,2,-,5
260070 ALIANCA,2,1,2,-,5
260080 ALTINHO,3,-,1,2,6
260090 AMARAJI,-,1,-,1,2
260100 ANGELIM,-,1,-,-,1
260105 ARACOIABA,5,1,1,2,9
260110 ARARIPINA,14,3,6,4,27
260120 ARCOVERDE,9,2,10,3,24
260130 BARRA DE GUABIRABA,-,1,-,-,1
260140 BARREIROS,2,-,2,1,5
260150 BELEM DE MARIA,1,-,1,-,2
260160 BELEM DE SAO FRANCISCO,2,1,1,-,4
260170 BELO JARDIM,4,2,4,4,14
260180 BETANIA,-,2,1,1,4
260190 BEZERROS,7,2,2,3,14
260200 BODOCO,7,2,1,-,10
260210 BOM CONSELHO,1,2,3,1,7
260220 BOM JARDIM,1,1,2,-,4
260230 BONITO,7,2,3,1,13
260240 BREJAO,3,-,-,1,4
260250 BREJINHO,1,1,-,1,3
260260 BREJO DA MADRE DE DEUS,5,2,5,-,12
260270 BUENOS AIRES,-,1,1,-,2
260280 BUIQUE,5,-,4,2,11
260290 CABO DE SANTO AGOSTINHO,15,8,13,4,40
260300 CABROBO,4,1,1,-,6
260310 CACHOEIRINHA,3,-,-,-,3
260320 CAETES,7,1,2,1,11
260330 CALCADO,-,1,-,-,1
260340 CALUMBI,1,-,2,-,3
260345 CAMARAGIBE,14,1,10,4,29
260350 CAMOCIM DE SAO FELIX,2,1,-,-,3
260360 CAMUTANGA,1,-,-,-,1
260370 CANHOTINHO,5,-,1,1,7
260380 CAPOEIRAS,2,-,3,1,6
260390 CARNAIBA,1,4,1,1,7
260392 CARNAUBEIRA DA PENHA,5,-,-,1,6
260400 CARPINA,9,1,4,1,15
260410 CARUARU,32,12,15,7,66
260415 CASINHAS,1,1,-,1,3
260420 CATENDE,2,-,2,-,4
260430 CEDRO,2,-,-,-,2
260440 CHA DE ALEGRIA,-,-,-,3,3
260450 CHA GRANDE,1,-,2,1,4
260460 CONDADO,2,-,-,-,2
260470 CORRENTES,4,-,2,-,6
260480 CORTES,1,-,-,-,1
260490 CUMARU,-,-,1,1,2
260500 CUPIRA,3,-,1,-,4
260510 CUSTODIA,6,1,-,-,7
260515 DORMENTES,3,1,1,-,5
260520 ESCADA,2,1,1,-,4
260530 EXU,4,-,-,3,7
260540 FEIRA NOVA,-,-,2,-,2
260550 FERREIROS,-,-,-,1,1
260560 FLORES,5,2,-,1,8
260570 FLORESTA,8,-,2,-,10
260580 FREI MIGUELINHO,1,-,-,-,1
260590 GAMELEIRA,2,-,2,-,4
260600 GARANHUNS,15,3,8,2,28
260610 GLORIA DO GOITA,2,-,-,2,4
260620 GOIANA,10,5,-,-,15
