municipio,microrregiao,mesorregiao
Araripina,Araripina,Sertão Pernambucano
Bodocó,Araripina,Sertão Pernambucano
Exu,Araripina,Sertão Pernambucano
Granito,Araripina,Sertão Pernambucano
Ipubi,Araripina,Sertão Pernambucano
Moreilândia,Araripina,Sertão Pernambucano
Ouricuri,Araripina,Sertão Pernambucano
Santa Cruz,Araripina,Sertão Pernambucano
Santa Filomena,Araripina,Sertão Pernambucano
Trindade,Araripina,Sertão Pernambucano
Cedro,Salgueiro,Sertão Pernambucano
Mirandiba,Salgueiro,Sertão Pernambucano
Parnamirim,Salgueiro,Sertão Pernambucano
Salgueiro,Salgueiro,Sertão Pernambucano
São José do Belmonte,Salgueiro,Sertão Pernambucano
Serrita,Salgueiro,Sertão Pernambucano
Verdejante,Salgueiro,Sertão Pernambucano
Afogados da Ingazeira,Pajeú,Sertão Pernambucano
Brejinho,Pajeú,Sertão Pernambucano
Calumbi,Pajeú,Sertão Pernambucano
Carnaíba,Pajeú,Sertão Pernambucano
Flores,Pajeú,Sertão Pernambucano
Iguaracy,Pajeú,Sertão Pernambucano
Ingazeira,Pajeú,Sertão Pernambucano
Itapetim,Pajeú,Sertão Pernambucano
Quixaba,Pajeú,Sertão Pernambucano
Santa Cruz da Baixa Verde,Pajeú,Sertão Pernambucano
Santa Terezinha,Pajeú,Sertão Pernambucano
São José do Egito,Pajeú,Sertão Pernambucano
Serra Talhada,Pajeú,Sertão Pernambucano
Solidão,Pajeú,Sertão Pernambucano
Tabira,Pajeú,Sertão Pernambucano
Triunfo,Pajeú,Sertão Pernambucano
Tuparetama,Pajeú,Sertão Pernambucano
Arcoverde,Sertão do Moxotó,Sertão Pernambucano
Betânia,Sertão do Moxotó,Sertão Pernambucano
Custódia,Sertão do Moxotó,Sertão Pernambucano
Ibimirim,Sertão do Moxotó,Sertão Pernambucano
Inajá,Sertão do Moxotó,Sertão Pernambucano
Manari,Sertão do Moxotó,Sertão Pernambucano
Sertânia,Sertão do Moxotó,Sertão Pernambucano
Afrânio,Petrolina,Francisco Pernambucano
Cabrobó,Petrolina,Francisco Pernambucano
Dormentes,Petrolina,Francisco Pernambucano
Lagoa Grande,Petrolina,Francisco Pernambucano
Orocó,Petrolina,Francisco Pernambucano
Petrolina,Petrolina,Francisco Pernambucano
Santa Maria da Boa Vista,Petrolina,Francisco Pernambucano
Terra Nova,Petrolina,Francisco Pernambucano
Belém do São Francisco,Itaparica,Francisco Pernambucano
Carnaubeira da Penha,Itaparica,Francisco Pernambucano
Floresta,Itaparica,Francisco Pernambucano
Itacuruba,Itaparica,Francisco Pernambucano
Jatobá,Itaparica,Francisco Pernambucano
Petrolândia,Itaparica,Francisco Pernambucano
Tacaratu,Itaparica,Francisco Pernambucano
Águas Belas,Vale do Ipanema,Agreste Pernambucano
Buíque,Vale do Ipanema,Agreste Pernambucano
Itaíba,Vale do Ipanema,Agreste Pernambucano
Pedra,Vale do Ipanema,Agreste Pernambucano
Tupanatinga,Vale do Ipanema,Agreste Pernambucano
Venturosa,Vale do Ipanema,Agreste Pernambucano
Alagoinha,Vale do Ipojuca,Agreste Pernambucano
Belo Jardim,Vale do Ipojuca,Agreste Pernambucano
Bezerros,Vale do Ipojuca,Agreste Pernambucano
Brejo da Madre de Deus,Vale do Ipojuca,Agreste Pernambucano
Cachoeirinha,Vale do Ipojuca,Agreste Pernambucano
Capoeiras,Vale do Ipojuca,Agreste Pernambucano
Caruaru,Vale do Ipojuca,Agreste Pernambucano
Gravatá,Vale do Ipojuca,Agreste Pernambucano
Jataúba,Vale do Ipojuca,Agreste Pernambucano
Pesqueira,Vale do Ipojuca,Agreste Pernambucano
Poção,Vale do Ipojuca,Agreste Pernambucano
Riacho das Almas,Vale do Ipojuca,Agreste Pernambucano
Sanharó,Vale do Ipojuca,Agreste Pernambucano
São Bento do Una,Vale do Ipojuca,Agreste Pernambucano
São Caetano,Vale do Ipojuca,Agreste Pernambucano
Tacaimbó,Vale do Ipojuca,Agreste Pernambucano
Casinhas,Alto Capibaribe,Agreste Pernambucano
Frei Miguelinho,Alto Capibaribe,Agreste Pernambucano
Santa Cruz do Capibaribe,Alto Capibaribe,Agreste Pernambucano
Santa Maria do Cambucá,Alto Capibaribe,Agreste Pernambucano
Surubim,Alto Capibaribe,Agreste Pernambucano
Taquaritinga do Norte,Alto Capibaribe,Agreste Pernambucanoe
Toritama,Alto Capibaribe,Agreste Pernambucano
Vertente do Lério,Alto Capibaribe,Agreste Pernambucano
Vertentes,Alto Capibaribe,Agreste Pernambucano
Bom Jardim,Médio Capibaribe,Agreste Pernambucano
Cumaru,Médio Capibaribe,Agreste Pernambucano
Feira Nova,Médio Capibaribe,Agreste Pernambucano
João Alfredo,Médio Capibaribe,Agreste Pernambucano
Limoeiro,Médio Capibaribe,Agreste Pernambucano
Machados,Médio Capibaribe,Agreste Pernambucano
Orobó,Médio Capibaribe,Agreste Pernambucano
Passira,Médio Capibaribe,Agreste Pernambucano
Salgadinho,Médio Capibaribe,Agreste Pernambucano
São Vicente Férrer,Médio Capibaribe,Agreste Pernambucano
Angelim,Garanhuns,Agreste Pernambucano
Bom Conselho,Garanhuns,Agreste Pernambucano
Brejão,Garanhuns,Agreste Pernambucano
Caetés,Garanhuns,Agreste Pernambucano
Calçado,Garanhuns,Agreste Pernambucano
Canhotinho,Garanhuns,Agreste Pernambucano
Correntes,Garanhuns,Agreste Pernambucano
Garanhuns,Garanhuns,Agreste Pernambucano
Iati,Garanhuns,Agreste Pernambucano
Jucati,Garanhuns,Agreste Pernambucano
Jupi,Garanhuns,Agreste Pernambucano
Jurema,Garanhuns,Agreste Pernambucano
Lagoa do Ouro,Garanhuns,Agreste Pernambucano
Lajedo,Garanhuns,Agreste Pernambucano
Palmeirina,Garanhuns,Agreste Pernambucano
Paranatama,Garanhuns,Agreste Pernambucano
Saloá,Garanhuns,Agreste Pernambucano
São João,Garanhuns,Agreste Pernambucano
Terezinha,Garanhuns,Agreste Pernambucano
Agrestina,Brejo Pernambucano,Agreste Pernambucano
Altinho,Brejo Pernambucano,Agreste Pernambucano
Barra de Guabiraba,Brejo Pernambucano,Agreste Pernambucano
Bonito,Brejo Pernambucano,Agreste Pernambucano
Camocim de São Félix,Brejo Pernambucano,Agreste Pernambucano
Cupira,Brejo Pernambucano,Agreste Pernambucano
Ibirajuba,Brejo Pernambucano,Agreste Pernambucano
Lagoa dos Gatos,Brejo Pernambucano,Agreste Pernambucano
Panelas,Brejo Pernambucano,Agreste Pernambucano
Sairé,Brejo Pernambucano,Agreste Pernambucano
São Joaquim do Monte,Brejo Pernambucano,Agreste Pernambucano
Aliança,Mata Setentrional Pernambucana,Mata Pernambucana
Buenos Aires,Mata Setentrional Pernambucana,Mata Pernambucana
Camutanga,Mata Setentrional Pernambucana,Mata Pernambucana
Carpina,Mata Setentrional Pernambucana,Mata Pernambucana
Condado,Mata Setentrional Pernambucana,Mata Pernambucana
Ferreiros,Mata Setentrional Pernambucana,Mata Pernambucana
Goiana,Mata Setentrional Pernambucana,Mata Pernambucana
Itambé,Mata Setentrional Pernambucana,Mata Pernambucana
Itaquitinga,Mata Setentrional Pernambucana,Mata Pernambucana
Lagoa de Itaenga,Mata Setentrional Pernambucana,Mata Pernambucana
Lagoa do Carro,Mata Setentrional Pernambucana,Mata Pernambucana
Macaparana,Mata Setentrional Pernambucana,Mata Pernambucana
Nazaré da Mata,Mata Setentrional Pernambucana,Mata Pernambucana
Paudalho,Mata Setentrional Pernambucana,Mata Pernambucana
Timbaúba,Mata Setentrional Pernambucana,Mata Pernambucana
Tracunhaém,Mata Setentrional Pernambucana,Mata Pernambucana
Vicência,Mata Setentrional Chã de Alegria,Mata Pernambucana
Chã Grande,Vitória de Santo Antão,Mata Pernambucana
Glória do Goitá,Vitória de Santo Antão,Mata Pernambucana
Pombos,Vitória de Santo Antão,Mata Pernambucana
Vitória de Santo Antão,Vitória de Santo Antão,Mata Pernambucana
Água Preta,Mata Meridional Pernambucana,Mata Pernambucana
Amaraji,Mata Meridional Pernambucana,Mata Pernambucana
Barreiros,Mata Meridional Pernambucana,Mata Pernambucana
Belém de Maria,Mata Meridional Pernambucana,Mata Pernambucana
Catende,Mata Meridional Pernambucana,Mata Pernambucana
Cortês,Mata Meridional Pernambucana,Mata Pernambucana
Escada,Mata Meridional Pernambucana,Mata Pernambucana
Gameleira,Mata Meridional Pernambucana,Mata Pernambucana
Jaqueira,Mata Meridional Pernambucana,Mata Pernambucana
Joaquim Nabuco,Mata Meridional Pernambucana,Mata Pernambucana
Maraial,Mata Meridional Pernambucana,Mata Pernambucana
Palmares,Mata Meridional Pernambucana,Mata Pernambucana
Primavera,Mata Meridional Pernambucana,Mata Pernambucana
Quipapá,Mata Meridional Pernambucana,Mata Pernambucana
Ribeirão,Mata Meridional Pernambucana,Mata Pernambucana
Rio Formoso,Mata Meridional Pernambucana,Mata Pernambucana
São Benedito do Sul,Mata Meridional Pernambucana,Mata Pernambucana
São José da Coroa Grande,Mata Meridional Pernambucana,Mata Pernambucana
Sirinhaém,Mata Meridional Pernambucana,Mata Pernambucana
Tamandaré,Mata Meridional Pernambucana,Mata Pernambucana
Xexéu,Mata Meridional Pernambucana,Mata Pernambucana
Araçoiaba,Itamaracá,Recife
Igarassu,Itamaracá,Recife
Ilha de Itamaracá,Itamaracá,Recife
Itapissuma,Itamaracá,Recife
Abreu e Lima,Recife,Recife
Camaragibe,Recife,Recife
Jaboatão dos Guararapes,Recife,Recie
Moreno,Recife,Recife
Olinda,Recife,Recife
Paulista,Recife,Recife
Recife,Recife,Recife
São Lourenço da Mata,Recife,Recife
